2023-03-11 18:19:53,071 INFO    MainThread:14035 [wandb_setup.py:_flush():76] Configure stats pid to 14035
2023-03-11 18:19:53,072 INFO    MainThread:14035 [wandb_setup.py:_flush():76] Loading settings from /Users/adamandrew/.config/wandb/settings
2023-03-11 18:19:53,072 INFO    MainThread:14035 [wandb_setup.py:_flush():76] Loading settings from /Users/adamandrew/Programming/Repos/OpenAIExplore/wandb/settings
2023-03-11 18:19:53,072 INFO    MainThread:14035 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-11 18:19:53,072 INFO    MainThread:14035 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-11 18:19:53,072 INFO    MainThread:14035 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'openai_explore.py', 'program': '/Users/adamandrew/Programming/Repos/OpenAIExplore/openai_explore.py'}
2023-03-11 18:19:53,072 INFO    MainThread:14035 [wandb_init.py:_log_setup():506] Logging user logs to /Users/adamandrew/Programming/Repos/OpenAIExplore/wandb/run-20230311_181953-2xixbv91/logs/debug.log
2023-03-11 18:19:53,072 INFO    MainThread:14035 [wandb_init.py:_log_setup():507] Logging internal logs to /Users/adamandrew/Programming/Repos/OpenAIExplore/wandb/run-20230311_181953-2xixbv91/logs/debug-internal.log
2023-03-11 18:19:53,072 INFO    MainThread:14035 [wandb_init.py:init():546] calling init triggers
2023-03-11 18:19:53,072 INFO    MainThread:14035 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-03-11 18:19:53,073 INFO    MainThread:14035 [wandb_init.py:init():602] starting backend
2023-03-11 18:19:53,073 INFO    MainThread:14035 [wandb_init.py:init():606] setting up manager
2023-03-11 18:19:53,075 INFO    MainThread:14035 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-03-11 18:19:53,078 INFO    MainThread:14035 [wandb_init.py:init():613] backend started and connected
2023-03-11 18:19:53,081 INFO    MainThread:14035 [wandb_init.py:init():701] updated telemetry
2023-03-11 18:19:53,083 INFO    MainThread:14035 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-11 18:19:53,536 INFO    MainThread:14035 [wandb_run.py:_on_init():2131] communicating current version
2023-03-11 18:19:53,624 INFO    MainThread:14035 [wandb_run.py:_on_init():2140] got version response 
2023-03-11 18:19:53,624 INFO    MainThread:14035 [wandb_init.py:init():789] starting run threads in backend
2023-03-11 18:19:53,666 INFO    MainThread:14035 [wandb_run.py:_console_start():2112] atexit reg
2023-03-11 18:19:53,666 INFO    MainThread:14035 [wandb_run.py:_redirect():1967] redirect: 3
2023-03-11 18:19:53,666 INFO    MainThread:14035 [wandb_run.py:_redirect():2032] Wrapping output streams.
2023-03-11 18:19:53,666 INFO    MainThread:14035 [wandb_run.py:_redirect():2057] Redirects installed.
2023-03-11 18:19:53,666 INFO    MainThread:14035 [wandb_init.py:init():831] run started, returning control to user process
2023-03-11 18:19:58,045 WARNING MsgRouterThr:14035 [router.py:message_loop():77] message_loop has been closed
